Date,Scope,PM10,PM2.5,SO2,CO,O3,NO2,Max,Critical Component,Category
2010-01-01,Bunderan HI,60,94,4,73,27,14,73,CO,Moderate
2010-01-02,Bunderan HI,32,94,2,16,33,9,33,O3,Good
2010-01-03,Bunderan HI,27,94,2,19,20,9,27,PM10,Good
2010-01-04,Bunderan HI,22,94,2,16,15,6,22,PM10,Good
2010-01-05,Bunderan HI,25,94,2,17,15,8,25,PM10,Good
2010-01-06,Bunderan HI,30,94,3,22,19,11,30,PM10,Good
2010-01-07,Bunderan HI,41,94,4,24,27,13,41,PM10,Good
2010-01-08,Bunderan HI,64,94,8,51,19,15,64,PM10,Moderate
2010-01-09,Bunderan HI,55,94,5,39,23,16,55,PM10,Moderate
2010-01-10,Bunderan HI,34,94,5,23,26,12,34,PM10,Good
2010-01-11,Bunderan HI,55,94,10,32,23,16,55,PM10,Moderate
2010-01-12,Bunderan HI,45,94,4,33,9,17,45,PM10,Good
2010-01-13,Bunderan HI,28,94,5,29,10,12,29,CO,Good
2010-01-14,Bunderan HI,38,94,6,28,15,10,38,PM10,Good
2010-01-15,Bunderan HI,35,94,5,33,17,17,35,PM10,Good
2010-01-16,Bunderan HI,54,94,5,38,17,18,54,PM10,Moderate
2010-01-17,Bunderan HI,44,94,4,28,22,14,44,PM10,Good
2010-01-18,Bunderan HI,38,94,4,29,24,15,38,PM10,Good
2010-01-19,Bunderan HI,40,94,3,43,23,23,43,CO,Good
2010-01-20,Bunderan HI,61,94,5,63,16,17,63,CO,Moderate
2010-01-21,Bunderan HI,36,94,4,27,23,13,36,PM10,Good
2010-01-22,Bunderan HI,51,94,4,45,14,13,51,PM10,Moderate
2010-01-23,Bunderan HI,35,94,3,30,20,14,35,PM10,Good
2010-01-24,Bunderan HI,56,94,6,46,30,14,56,PM10,Moderate
2010-01-25,Bunderan HI,59,94,4,38,18,15,59,PM10,Moderate
2010-01-26,Bunderan HI,43,94,5,42,19,24,43,PM10,Good
2010-01-27,Bunderan HI,54,94,8,38,40,16,54,PM10,Moderate
2010-01-28,Bunderan HI,72,94,8,55,20,17,72,PM10,Moderate
2010-01-29,Bunderan HI,51,94,8,24,19,11,51,PM10,Moderate
2010-01-30,Bunderan HI,47,94,8,32,19,12,47,PM10,Good
2010-01-31,Bunderan HI,32,94,5,25,26,10,32,PM10,Good
2010-02-01,Bunderan HI,41,94,7,30,17,13,41,PM10,Good
2010-02-02,Bunderan HI,50,94,4,30,23,12,50,PM10,Good
2010-02-03,Bunderan HI,49,94,7,33,57,23,57,O3,Moderate
2010-02-04,Bunderan HI,59,94,9,38,75,26,75,O3,Moderate
2010-02-05,Bunderan HI,63,94,7,39,41,23,63,PM10,Moderate
