Date,Time,PM10,PM2.5,SO2,CO,O3,NO2,Max,Critical Component,Category,Location
2021-09-01,00:00:00,16.0,28.0,0.0,7.0,0.0,4.0,28.0,PM2.5,Good,Yogyakarta
2021-09-01,01:00:00,16.0,28.0,0.0,7.0,0.0,4.0,28.0,PM2.5,Good,Yogyakarta
2021-09-01,02:00:00,16.0,28.0,0.0,7.0,0.0,4.0,28.0,PM2.5,Good,Yogyakarta
2021-09-01,03:00:00,18.0,32.0,0.0,7.0,1.0,4.0,32.0,PM2.5,Good,Yogyakarta
2021-09-01,04:00:00,18.0,32.0,0.0,6.0,1.0,4.0,32.0,PM2.5,Good,Yogyakarta
2021-09-01,05:00:00,18.0,33.0,0.0,6.0,2.0,4.0,33.0,PM2.5,Good,Yogyakarta
2021-09-01,06:00:00,18.0,32.0,0.0,6.0,3.0,4.0,32.0,PM2.5,Good,Yogyakarta
2021-09-01,07:00:00,18.0,32.0,0.0,6.0,3.0,4.0,32.0,PM2.5,Good,Yogyakarta
2021-09-01,08:00:00,17.0,32.0,0.0,6.0,4.0,4.0,32.0,PM2.5,Good,Yogyakarta
2021-09-01,09:00:00,17.0,32.0,0.0,6.0,4.0,4.0,32.0,PM2.5,Good,Yogyakarta
2021-09-01,10:00:00,17.0,32.0,0.0,6.0,4.0,4.0,32.0,PM2.5,Good,Yogyakarta
2021-09-01,11:00:00,17.0,31.0,0.0,7.0,4.0,4.0,31.0,PM2.5,Good,Yogyakarta
2021-09-01,12:00:00,17.0,32.0,0.0,6.0,4.0,4.0,32.0,PM2.5,Good,Yogyakarta
2021-09-01,13:00:00,17.0,32.0,0.0,7.0,4.0,4.0,32.0,PM2.5,Good,Yogyakarta
2021-09-01,14:00:00,18.0,33.0,0.0,7.0,4.0,4.0,33.0,PM2.5,Good,Yogyakarta
2021-09-01,15:00:00,18.0,34.0,0.0,7.0,4.0,4.0,34.0,PM2.5,Good,Yogyakarta
2021-09-01,16:00:00,18.0,34.0,0.0,7.0,4.0,4.0,34.0,PM2.5,Good,Yogyakarta
2021-09-01,17:00:00,19.0,35.0,0.0,7.0,4.0,4.0,35.0,PM2.5,Good,Yogyakarta
2021-09-01,18:00:00,19.0,35.0,0.0,7.0,4.0,4.0,35.0,PM2.5,Good,Yogyakarta
2021-09-01,19:00:00,19.0,35.0,0.0,7.0,4.0,4.0,35.0,PM2.5,Good,Yogyakarta
2021-09-01,20:00:00,19.0,35.0,0.0,7.0,4.0,4.0,35.0,PM2.5,Good,Yogyakarta
2021-09-01,21:00:00,19.0,36.0,0.0,7.0,5.0,4.0,36.0,PM2.5,Good,Yogyakarta
2021-09-01,22:00:00,20.0,36.0,0.0,7.0,5.0,4.0,36.0,PM2.5,Good,Yogyakarta
2021-09-01,23:00:00,20.0,36.0,0.0,7.0,5.0,4.0,36.0,PM2.5,Good,Yogyakarta
2021-09-02,00:00:00,14.0,28.0,,9.0,,3.0,28.0,PM2.5,Good,Yogyakarta
