Date,PM10,PM2.5,SO2,CO,O3,NO2,Max,Critical Component,Category,City
2021-01-01,38,53,29,6,31,13,53,PM25,Moderate,Jakarta
2021-01-02,27,46,27,7,47,7,47,O3,Good,Jakarta
2021-01-03,44,58,25,7,40,13,58,PM25,Moderate,Jakarta
2021-01-04,30,48,24,4,32,7,48,PM25,Good,Jakarta
2021-01-05,38,53,24,6,31,9,53,PM25,Moderate,Jakarta
2021-01-06,41,58,23,13,46,13,58,PM25,Moderate,Jakarta
2021-01-07,35,47,22,6,39,10,47,PM25,Good,Jakarta
2021-01-08,37,54,26,16,17,10,54,PM25,Moderate,Jakarta
2021-01-09,47,61,16,27,22,12,61,PM25,Moderate,Jakarta
2021-01-10,23,25,16,11,33,8,33,O3,Good,Jakarta
2021-01-11,38,54,17,14,27,10,54,PM25,Moderate,Jakarta
2021-01-12,29,50,20,12,26,15,50,PM25,Good,Jakarta
2021-01-13,34,44,17,13,20,9,44,PM25,Good,Jakarta
2021-01-14,36,57,15,15,26,13,57,PM25,Moderate,Jakarta
2021-01-15,42,62,14,15,32,12,62,PM25,Moderate,Jakarta
2021-01-16,52,73,15,17,25,14,73,PM25,Moderate,Jakarta
2021-01-17,52,71,17,15,26,14,71,PM25,Moderate,Jakarta
2021-01-18,40,52,16,11,26,12,52,PM25,Moderate,Jakarta
2021-01-19,31,41,13,12,25,12,41,PM25,Good,Jakarta
2021-01-20,35,34,12,12,22,13,35,PM10,Good,Jakarta
2021-01-21,43,51,13,14,28,15,51,PM25,Moderate,Jakarta
2021-01-22,49,63,14,14,28,15,63,PM25,Moderate,Jakarta
2021-01-23,72,108,14,43,44,20,108,PM25,Worst,Jakarta
2021-01-24,33,48,12,14,23,10,48,PM25,Good,Jakarta
2021-01-25,56,82,13,29,62,15,82,PM25,Moderate,Jakarta
2021-01-26,52,70,14,19,28,13,70,PM25,Moderate,Jakarta
2021-01-27,20,20,13,10,19,8,20,PM10,Good,Jakarta
2021-01-28,27,41,14,18,17,11,41,PM25,Good,Jakarta
2021-01-29,30,53,16,17,24,11,53,PM25,Moderate,Jakarta
2021-01-30,27,37,13,16,24,12,37,PM25,Good,Jakarta
2021-01-31,36,51,13,16,26,10,51,PM25,Moderate,Jakarta
